#multi:
 cart  mass A  
t x y x y 
5.103855E0 5.567731E-2 -4.755288E-2 -4.063290E-3 -4.175001E-1
5.120534E0 5.572871E-2 -4.751887E-2 -1.178168E-2 -4.170840E-1
5.137213E0 5.570177E-2 -4.752150E-2 -1.842719E-2 -4.165258E-1
5.153893E0 5.567396E-2 -4.753283E-2 -2.420475E-2 -4.161488E-1
5.170572E0 5.572463E-2 -4.754645E-2 -2.916840E-2 -4.157762E-1
5.187251E0 5.567880E-2 -4.755003E-2 -3.317913E-2 -4.156777E-1
5.203930E0 5.566198E-2 -4.752696E-2 -3.620065E-2 -4.157499E-1
5.220610E0 5.565958E-2 -4.746770E-2 -3.830953E-2 -4.159742E-1
5.237289E0 5.563872E-2 -4.750266E-2 -3.949483E-2 -4.162759E-1
5.253968E0 5.574575E-2 -4.747935E-2 -3.960610E-2 -4.165750E-1
5.270648E0 5.590303E-2 -4.747532E-2 -3.859627E-2 -4.174418E-1
5.287327E0 5.615566E-2 -4.741105E-2 -3.641582E-2 -4.184043E-1
5.304006E0 5.631433E-2 -4.742250E-2 -3.318639E-2 -4.194698E-1
5.320685E0 5.637965E-2 -4.745439E-2 -2.911537E-2 -4.208275E-1
5.337365E0 5.645442E-2 -4.747141E-2 -2.416758E-2 -4.224145E-1
5.354044E0 5.643527E-2 -4.749271E-2 -1.834016E-2 -4.239800E-1
5.370723E0 5.647998E-2 -4.752650E-2 -1.186038E-2 -4.255375E-1
5.387402E0 5.646474E-2 -4.752654E-2 -4.197577E-3 -4.267661E-1
5.404082E0 5.645516E-2 -4.750611E-2 3.808688E-3 -4.280191E-1
5.420761E0 5.647948E-2 -4.745100E-2 1.243907E-2 -4.286868E-1
5.437440E0 5.657646E-2 -4.747776E-2 2.183445E-2 -4.292701E-1
5.454119E0 5.658983E-2 -4.748265E-2 3.166369E-2 -4.298816E-1
5.470799E0 5.661559E-2 -4.748777E-2 4.129688E-2 -4.302631E-1
